Date and Time	                  X, km	                    Y, km	                  Z, km
2024-11-01 14:08:29.999983	3323842.519502249	6074187.476516235	-174389.35857704576
2024-11-01 14:08:59.999981	3199962.099652046	6132775.58959228	-356180.6873216091
2024-11-01 14:09:30.000020	3072622.7763649025	6184735.034860968	-537586.2188228358
2024-11-01 14:10:00.000018	2941962.958574481	6230010.378268955	-718408.9271419222
2024-11-01 14:10:30.000016	2808124.1202076897	6268553.684607399	-898453.2044543386
2024-11-01 14:11:00.000014	2671251.3206138294	6300324.27814238	-1077524.1029556857
2024-11-01 14:11:30.000013	2531492.8741322025	6325288.8565958515	-1255427.7929606775
2024-11-01 14:12:00.000011	2389000.18466918	6343421.522458466	-1431971.7757890353
2024-11-01 14:12:30.000009	2243927.5770221627	6354703.805768747	-1606965.094759777
2024-11-01 14:13:00.000007	2096432.1251786037	6359124.678365855	-1780218.5440336978
2024-11-01 14:13:30.000005	1946673.477826677	6356680.559637089	-1951544.8750429507
2024-11-01 14:14:00.000004	1794813.6813071666	6347375.313796141	-2120759.0002646325
2024-11-01 14:14:30.000002	1641017.0002425276	6331220.238740526	-2287678.194096075
2024-11-01 14:15:00.000000	1485449.7360849197	6308234.046550861	-2452122.2905921545
2024-11-01 14:15:29.999998	1328280.0438087014	6278442.835705561	-2613913.877850989
2024-11-01 14:15:59.999996	1169677.7469958675	6241880.055098929	-2772878.4888174464
2024-11-01 14:16:29.999995	1009814.1515375815	6198586.4599593915	-2928844.7883085613
2024-11-01 14:16:59.999993	848861.8581941607	6148610.059778477	-3081644.7560524917
2024-11-01 14:17:29.999991	686994.574239238	6092006.058369418	-3231113.865556869
2024-11-01 14:17:59.999989	524386.9244098321	6028836.786181671	-3377091.258632097
2024-11-01 14:18:29.999987	361214.2614013259	5959171.625013892	-3519419.915386104
2024-11-01 14:18:59.999986	197652.476115342	5883086.925267503	-3657946.819542434
2024-11-01 14:19:29.999984	33877.807881211105	5800665.915895374	-3792523.118927233
2024-11-01 14:19:59.999982	-129933.3451407746	5711998.607203632	-3923004.280987521
2024-11-01 14:20:29.999980	-293604.61515703646	5617181.686678047	-4049250.24320163
2024-11-01 14:21:00.000019	-456960.07213930966	5516318.268723772	-4171125.718731034
2024-11-01 14:21:30.000017	-619823.5357208329	5409518.32626209	-4288499.688321012
2024-11-01 14:22:00.000015	-782020.0768519808	5296897.754828278	-4401246.515669883
2024-11-01 14:22:30.000013	-943375.3264664228	5178578.775363303	-4509245.416452685
2024-11-01 14:23:00.000012	-1103715.8791423677	5054689.666548194	-4612380.748000367
2024-11-01 14:23:30.000010	-1262869.4759137237	4925364.622480865	-4710542.126872533
2024-11-01 14:24:00.000008	-1420665.1854003256	4790743.604639579	-4803624.540668022
2024-11-01 14:24:30.000006	-1576933.583089516	4650972.188326452	-4891528.454006739
2024-11-01 14:25:00.000004	-1731506.9286147307	4506201.403779288	-4974159.908628313
2024-11-01 14:25:30.000003	-1884219.340881061	4356587.5721404115	-5051430.617558696
2024-11-01 14:26:00.000001	-2034906.9708945344	4202292.1364691	-5123258.053302168
2024-11-01 14:26:29.999999	-2183408.1721472447	4043481.487993347	-5189565.530017091
2024-11-01 14:26:59.999997	-2329563.668434614	3880326.7877763375	-5250282.279648402
2024-11-01 14:27:29.999996	-2473216.718964865	3713003.7839924144	-5305343.52198385
2024-11-01 14:27:59.999994	-2614213.280639123	3541692.624991956	-5354690.528612249
2024-11-01 14:28:29.999992	-2752402.167377115	3366577.668340897	-5398270.680762148
2024-11-01 14:28:59.999990	-2887635.2063733023	3187847.2860121396	-5436037.521005309
2024-11-01 14:29:29.999988	-3019767.3911689925	3005693.665906673	-5467950.798810425
2024-11-01 14:29:59.999987	-3148657.031420232	2820312.6098936	-5493976.509933679
2024-11-01 14:30:29.999985	-3274165.8992700446	2631903.328520723	-5514086.929640947
2024-11-01 14:30:59.999983	-3396159.372179568	2440668.2326277304	-5528260.639747438
2024-11-01 14:31:29.999981	-3514506.572193623	2246812.721914874	-5536482.549481589
2024-11-01 14:32:00.000020	-3629080.6524958834	2050544.7060708003	-5538743.909186341
2024-11-01 14:32:30.000018	-3739758.3195207813	1852075.4441147146	-5535042.314669695
2024-11-01 14:33:00.000016	-3846420.882901835	1651617.7454397918	-5525381.727695143
2024-11-01 14:33:30.000014	-3948953.7593376013	1449386.7982560128	-5509772.451945093
2024-11-01 14:34:00.000013	-4047246.748434956	1245599.6843224894	-5488231.129957198
2024-11-01 14:34:30.000011	-4141194.1481057485	1040475.1534284094	-5460780.726844355
2024-11-01 14:35:00.000009	-4230694.8656721525	834233.3960726407	-5427450.507824639
2024-11-01 14:35:30.000007	-4315652.524540258	627095.8146072674	-5388276.009574686
2024-11-01 14:36:00.000005	-4395975.566373165	419284.7929659404	-5343299.005407296
2024-11-01 14:36:30.000004	-4471577.348655935	211023.4651810003	-5292567.464284096
2024-11-01 14:37:00.000002	-4542376.237559794	2535.4828632120434	-5236135.503671558
2024-11-01 14:37:30.000000	-4608295.696005663	-205955.21815986963	-5174063.336254897
2024-11-01 14:37:59.999998	-4669264.3668330135	-414224.65186188265	-5106417.21052411
2024-11-01 14:38:29.999996	-4725216.15097793	-622049.016497339	-5033269.345250184
2024-11-01 14:38:59.999995	-4776090.2805646565	-829204.9293432495	-4954697.857873614
2024-11-01 14:39:29.999993	-4821831.386816621	-1035469.6615021888	-4870786.6868298445
2024-11-01 14:39:59.999991	-4862389.562692533	-1240621.372556004	-4781625.507842571
2024-11-01 14:40:29.999989	-4897720.420156052	-1444439.3448612392	-4687309.644218334
2024-11-01 14:40:59.999987	-4927785.141988628	-1646704.2172717245	-4587939.971180577
2024-11-01 14:41:29.999986	-4952550.528055253	-1847198.2180580215	-4483622.814292424
2024-11-01 14:41:59.999984	-4971989.035939068	-2045705.3968104795	-4374469.842013016
2024-11-01 14:42:29.999982	-4986078.815859067	-2242011.855079528	-4260597.952452702
2024-11-01 14:42:59.999980	-4994803.739792764	-2435905.9755377197	-4142129.154380651
2024-11-01 14:43:30.000019	-4998153.425610043	-2627178.9040634898	-4019190.274758617
2024-11-01 14:44:00.000017	-4996123.243621213	-2815623.752599665	-3891913.494014955
2024-11-01 14:44:30.000015	-4988714.354830925	-3001037.3618939794	-3760435.220788963
2024-11-01 14:45:00.000013	-4975933.690963173	-3183219.4923435254	-3624896.604477593
2024-11-01 14:45:30.000012	-4957793.961642473	-3361973.300334608	-3485443.2268760046
2024-11-01 14:46:00.000010	-4934313.647293808	-3537105.553272273	-3342224.950537969
2024-11-01 14:46:30.000008	-4905516.985814773	-3708426.841366075	-3195395.762069221
2024-11-01 14:47:00.000006	-4871433.952984303	-3875751.7858998757	-3045113.61049481
2024-11-01 14:47:30.000004	-4832100.236578186	-4038899.24372932	-2891540.2408379996
2024-11-01 14:48:00.000003	-4787557.204171092	-4197692.507740828	-2734841.0230654804
2024-11-01 14:48:30.000001	-4737851.864611354	-4351959.503013744	-2575184.776556413
